Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
Manhole,254,Continuous,14.7566184476,18,PMH,5.1320937329,404486.4533,1429727.2194,Tambaram
Manhole,254,Continuous,14.8685842332,18,PMH,5.1320937329,404476.4609,1429668.3387,Tambaram
Manhole,254,Continuous,15.2344724252,18,PMH,5.1320937329,404470.2718,1429628.2755,Tambaram
Manhole,254,Continuous,15.7413175437,18,PMH,5.1320937329,404263.7299,1429769.4461,Tambaram
TAP,254,Continuous,15.0435307731,25,PWT,359.803654512,404334.6101,1429786.0836,Tambaram
TAP,254,Continuous,14.7486208915,25,PWT,359.803654512,404324.4555,1429795.2631,Tambaram
Manhole,254,Continuous,15.1415008354,18,PMH,5.1320937329,404286.7226,1429803.7975,Tambaram
TAP,254,Continuous,15.1614947257,25,PWT,359.803654512,404284.1525,1429806.8626,Tambaram
TAP,254,Continuous,15.1754904489,25,PWT,359.803654512,404230.699,1429820.2388,Tambaram
Streetlight,254,Continuous,15.5903636721,25,PLP,359.803654512,404466.1662,1429592.0518,Tambaram
Streetlight,254,Continuous,15.4214152993,25,PET,359.803654512,404464.9853,1429608.1594,Tambaram
Streetlight,254,Continuous,16.6470407731,25,PLP,359.803654512,404448.1895,1429527.8615,Tambaram
Manhole,254,Continuous,15.7143257918,18,PMH,5.1320937332,404828.296,1429717.5416,Tambaram
Streetlight,254,Continuous,16.8869674564,25,PLP,359.803654299,404839.2949,1429728.7008,Tambaram
Streetlight,254,Continuous,15.8752766085,25,PEP,359.803654299,404784.8499,1429695.8595,Tambaram
Streetlight,254,Continuous,15.9262610287,25,PEP,359.803654299,404810.6806,1429724.3357,Tambaram
Streetlight,254,Continuous,17.5397679739,25,PLP,359.803654512,404469.0759,1429400.7254,Tambaram
Streetlight,254,Continuous,17.7946900749,25,PLP,359.803654299,404474.8124,1429337.8357,Tambaram
Streetlight,254,Continuous,18.1855706297,25,PEP,359.803654299,404467.1959,1429330.4364,Tambaram
Streetlight,254,Continuous,16.604053909,25,PLP,359.803654299,404506.0513,1429367.2782,Tambaram
Streetlight,254,Continuous,16.6620361908,25,PEP,359.803654299,404519.7432,1429380.4103,Tambaram
Streetlight,254,Continuous,18.1045953741,25,PLP,359.803654299,404495.317,1429382.1598,Tambaram
Streetlight,254,Continuous,18.3295266397,25,PLP,359.803654299,404470.1855,1429357.2316,Tambaram
Streetlight,254,Continuous,17.6327395636,25,PLP,359.803654299,404494.4458,1429356.5522,Tambaram
Streetlight,254,Continuous,17.5877533105,25,PEP,359.803654299,404485.9444,1429348.1843,Tambaram
Manhole,254,Continuous,17.5547633916,18,PMH,5.1320937332,404482.3234,1429368.0337,Tambaram
Streetlight,254,Continuous,18.0076250063,25,PEP,359.803654299,404461.3622,1429324.0135,Tambaram
Streetlight,254,Continuous,15.9692478928,25,PEP,359.803654299,404476.8216,1429523.6006,Tambaram
Streetlight,254,Continuous,16.5440722382,25,PEP,359.803654299,404465.858,1429465.0898,Tambaram
Streetlight,254,Continuous,15.4234146883,25,PEP,359.803654299,404468.931,1429606.3901,Tambaram
Streetlight,254,Continuous,15.7953010474,25,PEP,359.803654299,404488.7963,1429580.8482,Tambaram
Streetlight,254,Continuous,15.8752766085,25,PEP,359.803654299,404459.3722,1429585.4756,Tambaram
Streetlight,254,Continuous,15.4064198816,25,PEP,359.803654299,404470.9011,1429619.2408,Tambaram
Streetlight,254,Continuous,15.3894250748,25,PEP,359.803654299,404292.6026,1429804.6247,Tambaram
Streetlight,254,Continuous,15.0225371883,25,PEP,359.803654299,404315.0708,1429798.2222,Tambaram
Streetlight,254,Continuous,14.7356248629,25,PEP,359.803654299,404360.2299,1429785.2166,Tambaram
Streetlight,254,Continuous,15.0785200811,25,PEP,359.803654299,404329.8159,1429780.4063,Tambaram
Streetlight,254,Continuous,15.4124180486,25,PEP,359.803654299,404225.3935,1429782.5531,Tambaram
Streetlight,254,Continuous,15.7233230424,25,PEP,359.803654299,404270.3579,1429769.5191,Tambaram
Streetlight,254,Continuous,15.5013908604,25,PEP,359.803654299,404222.8676,1429768.2366,Tambaram
Streetlight,254,Continuous,14.6816413591,25,PEP,359.803654299,404547.599,1429727.9422,Tambaram
Streetlight,254,Continuous,14.6416535786,25,PEP,359.803654299,404470.4229,1429712.2091,Tambaram
Streetlight,254,Continuous,14.5086942082,25,PEP,359.803654299,404515.3511,1429697.5985,Tambaram
Streetlight,254,Continuous,14.7316260848,25,PEP,359.803654299,404498.7383,1429704.0501,Tambaram
Streetlight,254,Continuous,14.4257195636,25,PEP,359.803654299,404359.8034,1429876.4468,Tambaram
Streetlight,254,Continuous,14.599666409,25,PEP,359.803654299,404349.0511,1429839.0688,Tambaram
Streetlight,254,Continuous,14.6416535786,25,PEP,359.803654299,404343.3116,1429825.2948,Tambaram
Streetlight,254,Continuous,15.5853651995,25,PEP,359.803654299,404244.0477,1429777.7394,Tambaram
Streetlight,254,Continuous,15.547376808,25,PEP,359.803654299,404292.7807,1429763.4859,Tambaram
Streetlight,254,Continuous,15.2474684539,25,PEP,359.803654299,404448.3739,1429718.2743,Tambaram
Streetlight,254,Continuous,14.8725830112,25,PEP,359.803654299,404399.1664,1429732.3129,Tambaram
Streetlight,254,Continuous,14.9745518516,25,PEP,359.803654299,404374.3625,1429768.4422,Tambaram
Streetlight,254,Continuous,14.6266581609,25,PEP,359.803654299,404313.696,1429844.01,Tambaram
Streetlight,254,Continuous,14.9935460474,25,PEP,359.803654299,404307.4962,1429890.6668,Tambaram
Streetlight,254,Continuous,14.5596786284,25,PEP,359.803654299,404342.5144,1429882.4922,Tambaram
